timestamp,open,high,low,close,volume
2026-01-16 01:45:00,142.35,142.5,142.33,142.5,2349.596
2026-01-16 01:50:00,142.5,142.54,142.39,142.42,1889.348
2026-01-16 01:55:00,142.42,142.5,142.33,142.35,1911.766
2026-01-16 02:00:00,142.35,142.35,141.93,142.07,6580.298
2026-01-16 02:05:00,142.07,142.13,141.87,141.99,13867.815
2026-01-16 02:10:00,142.0,142.05,141.9,141.95,2988.695
2026-01-16 02:15:00,141.95,141.97,141.79,141.92,3860.069
2026-01-16 02:20:00,141.91,141.98,141.68,141.97,9210.769
2026-01-16 02:25:00,141.97,142.31,141.97,142.3,3958.425
2026-01-16 02:30:00,142.31,142.31,142.11,142.12,2458.458
2026-01-16 02:35:00,142.13,142.18,141.98,142.0,1094.33
2026-01-16 02:40:00,142.0,142.09,141.92,142.06,1735.228
2026-01-16 02:45:00,142.06,142.17,142.0,142.15,6735.943
2026-01-16 02:50:00,142.14,142.16,142.01,142.11,1575.282
2026-01-16 02:55:00,142.11,142.22,142.07,142.19,1277.255
2026-01-16 03:00:00,142.2,142.29,142.15,142.16,2309.595
2026-01-16 03:05:00,142.16,142.38,142.16,142.38,1066.246
2026-01-16 03:10:00,142.38,142.47,142.35,142.41,1345.194
2026-01-16 03:15:00,142.41,142.41,142.2,142.34,2281.173
2026-01-16 03:20:00,142.34,142.37,142.26,142.36,3745.287
2026-01-16 03:25:00,142.36,142.36,142.26,142.27,2519.662
2026-01-16 03:30:00,142.27,142.27,142.01,142.05,5261.408
2026-01-16 03:35:00,142.05,142.15,141.99,142.01,6952.723
2026-01-16 03:40:00,142.02,142.23,142.01,142.14,11281.294
2026-01-16 03:45:00,142.15,142.15,142.01,142.06,3832.456
2026-01-16 03:50:00,142.06,142.1,142.02,142.03,3014.017
2026-01-16 03:55:00,142.02,142.05,141.87,141.97,4463.12
2026-01-16 04:00:00,141.97,142.06,141.92,142.06,3574.91
2026-01-16 04:05:00,142.06,142.12,141.9,142.01,3669.187
2026-01-16 04:10:00,142.01,142.05,141.97,141.99,2585.063
2026-01-16 04:15:00,141.98,142.51,141.98,142.45,23917.519
