timestamp,open,high,low,close,volume
2026-01-09 03:15:00,893.67,894.28,892.2,892.91,726.578
2026-01-09 03:30:00,892.91,895.39,892.59,895.13,689.818
2026-01-09 03:45:00,895.13,896.56,894.97,895.8,1303.72
2026-01-09 04:00:00,895.81,896.72,895.44,895.67,1100.444
2026-01-09 04:15:00,895.67,896.59,895.39,896.19,533.593
2026-01-09 04:30:00,896.19,896.61,894.65,895.04,658.743
2026-01-09 04:45:00,895.05,896.12,895.05,895.83,410.527
2026-01-09 05:00:00,895.83,897.47,895.74,897.18,450.608
2026-01-09 05:15:00,897.19,897.5,895.99,896.77,788.262
2026-01-09 05:30:00,896.76,897.49,896.27,896.83,461.298
2026-01-09 05:45:00,896.83,898.25,896.79,898.25,379.71
2026-01-09 06:00:00,898.25,898.6,897.59,898.22,484.479
2026-01-09 06:15:00,898.22,899.0,895.85,895.87,421.697
2026-01-09 06:30:00,895.86,897.21,895.58,896.18,551.322
2026-01-09 06:45:00,896.17,896.82,895.88,896.67,535.03
2026-01-09 07:00:00,896.67,896.67,894.75,895.08,385.706
2026-01-09 07:15:00,895.09,896.0,894.99,896.0,429.086
2026-01-09 07:30:00,895.99,896.0,894.99,895.68,630.823
2026-01-09 07:45:00,895.68,895.68,893.66,893.66,697.827
2026-01-09 08:00:00,893.67,894.5,892.35,893.2,1182.417
2026-01-09 08:15:00,893.2,894.46,893.06,893.92,624.639
2026-01-09 08:30:00,893.92,894.13,890.33,890.51,1181.032
2026-01-09 08:45:00,890.51,890.88,886.2,889.85,2671.274
2026-01-09 09:00:00,889.85,891.72,889.75,890.21,887.203
2026-01-09 09:15:00,890.21,891.7,889.93,891.36,848.644
2026-01-09 09:30:00,891.36,891.4,889.48,889.58,1062.744
2026-01-09 09:45:00,889.59,889.59,888.05,888.41,1377.209
2026-01-09 10:00:00,888.4,889.78,887.78,889.71,573.66
2026-01-09 10:15:00,889.72,890.19,889.59,889.65,536.617
2026-01-09 10:30:00,889.64,890.5,889.24,890.15,519.257
2026-01-09 10:45:00,890.15,890.32,890.03,890.24,290.452
2026-01-09 11:00:00,890.24,891.69,890.19,890.97,1094.891
2026-01-09 11:15:00,890.96,891.7,890.91,891.39,518.414
2026-01-09 11:30:00,891.39,891.85,890.81,891.26,349.202
2026-01-09 11:45:00,891.26,891.45,889.49,889.64,501.578
2026-01-09 12:00:00,889.63,890.4,889.14,889.15,629.145
2026-01-09 12:15:00,889.14,889.15,888.0,888.67,741.917
2026-01-09 12:30:00,888.67,889.63,888.44,889.05,556.177
2026-01-09 12:45:00,889.06,889.96,888.84,889.33,397.955
2026-01-09 13:00:00,889.33,890.49,887.94,890.29,1753.577
2026-01-09 13:15:00,890.28,891.83,890.2,891.26,890.264
2026-01-09 13:30:00,891.25,894.06,889.62,890.34,3223.082
2026-01-09 13:45:00,890.34,891.37,889.53,890.52,495.395
2026-01-09 14:00:00,890.52,890.53,887.46,887.73,1324.244
2026-01-09 14:15:00,887.73,889.63,887.57,889.44,1060.906
2026-01-09 14:30:00,889.44,890.54,886.28,887.19,2231.914
2026-01-09 14:45:00,887.2,888.21,886.05,887.52,1305.625
2026-01-09 15:00:00,887.52,889.41,885.28,889.13,1468.13
2026-01-09 15:15:00,889.13,898.08,888.51,897.35,3147.408
2026-01-09 15:30:00,897.36,900.22,894.12,894.2,3760.762
2026-01-09 15:45:00,894.2,896.46,892.11,894.77,1736.283
2026-01-09 16:00:00,894.77,900.77,894.72,900.67,2042.964
2026-01-09 16:15:00,900.67,901.06,897.52,898.33,1692.826
2026-01-09 16:30:00,898.33,898.81,896.5,898.3,815.808
2026-01-09 16:45:00,898.3,900.0,897.79,899.06,850.458
2026-01-09 17:00:00,899.06,899.79,896.96,897.83,1412.88
2026-01-09 17:15:00,897.84,897.87,895.43,897.0,749.486
2026-01-09 17:30:00,897.0,897.39,895.64,896.34,549.896
2026-01-09 17:45:00,896.35,899.41,896.14,898.9,508.344
2026-01-09 18:00:00,898.9,899.77,897.1,897.34,374.559
2026-01-09 18:15:00,897.33,897.33,893.3,893.52,1060.997
2026-01-09 18:30:00,893.53,896.07,891.6,894.99,1526.24
2026-01-09 18:45:00,895.0,896.11,894.27,895.54,263.824
2026-01-09 19:00:00,895.54,895.55,893.16,893.19,588.565
2026-01-09 19:15:00,893.18,893.38,891.48,892.17,540.106
2026-01-09 19:30:00,892.18,892.85,890.94,892.2,311.969
2026-01-09 19:45:00,892.21,894.86,892.14,893.34,653.519
2026-01-09 20:00:00,893.33,894.86,892.7,894.86,388.192
2026-01-09 20:15:00,894.86,896.0,894.36,894.72,356.598
2026-01-09 20:30:00,894.71,896.0,893.52,893.52,293.279
2026-01-09 20:45:00,893.52,894.63,892.94,893.18,246.195
2026-01-09 21:00:00,893.18,894.29,891.94,894.23,385.018
2026-01-09 21:15:00,894.22,895.98,894.1,895.48,464.73
2026-01-09 21:30:00,895.48,896.0,894.51,895.13,394.389
2026-01-09 21:45:00,895.14,896.36,895.11,896.33,475.917
2026-01-09 22:00:00,896.34,897.08,894.91,895.51,1023.053
2026-01-09 22:15:00,895.5,895.73,894.52,895.48,248.384
2026-01-09 22:30:00,895.47,896.24,895.12,895.56,385.432
2026-01-09 22:45:00,895.56,896.92,895.56,896.55,212.7
2026-01-09 23:00:00,896.55,897.07,896.25,897.01,407.034
2026-01-09 23:15:00,897.01,898.25,896.5,897.89,358.467
2026-01-09 23:30:00,897.89,898.24,897.06,897.5,389.666
2026-01-09 23:45:00,897.5,897.67,896.38,896.86,215.732
2026-01-10 00:00:00,896.87,898.0,896.86,897.4,569.529
2026-01-10 00:15:00,897.4,898.39,896.81,898.39,309.223
2026-01-10 00:30:00,898.39,899.73,898.38,898.81,584.332
2026-01-10 00:45:00,898.81,898.82,897.88,897.88,496.033
2026-01-10 01:00:00,897.89,899.38,897.68,899.38,475.77
2026-01-10 01:15:00,899.37,900.08,899.23,899.76,661.893
